Zip_Code,Population,Population_Density,Housing_Units,Median_Home_Value,Occupied_Housing_Units,Median_Household_Income,Gender_Male,Gender_Female,Race_White,Race_Black,Race_Indian,Race_Asian,Race_Hawaiian,Race_Other,Race_Mixed,Whole_Family,Single_Guardian,Singles,Single_With_Roomate,Owned_With_Mortgage,Owned_No_Mortgage,Renter,Vacant,Full_Time,Part_Time,Unemployed
77002,"16,793","8,320","3,757","$208,600 ","3,080","$64,093 ","13,839","2,954","8,704","6,649",36,310,4,907,183,367,104,"2,259",350,566,129,"2,385",677,"3,349","3,939","4,151"
77019,"18,944","5,382","10,980","$378,700 ","9,955","$87,394 ","9,546","9,398","14,845","1,877",49,"1,076",5,688,404,"3,223",926,"4,483","1,323","3,491","1,486","4,978","1,025","9,956","3,630","3,548"
77006,"19,664","8,720","13,602","$327,300 ","11,809","$67,458 ","11,111","8,553","15,921",837,91,"1,121",13,"1,142",539,"2,440",703,"6,604","2,062","3,230",964,"7,615","1,793","10,918","4,854","3,371"
77056,"18,673","5,397","12,270","$555,700 ","10,372","$93,069 ","9,323","9,350","14,592",879,37,"2,183",3,556,423,"3,742",688,"5,065",877,"2,631","1,876","5,865","1,898","8,027","2,868","4,791"
77054,"22,290","3,989","14,173","$119,300 ","12,181","$41,694 ","10,707","11,583","6,847","8,014",65,"6,067",14,710,573,"2,465","1,615","6,269","1,832","1,672",514,"9,995","1,992","9,379","4,661","5,037"
77003,"10,508","4,144","4,713","$162,600 ","3,894","$36,412 ","5,709","4,799","5,206","2,757",49,274,0,"1,858",364,"1,093",820,"1,505",476,955,466,"2,473",819,"3,685","2,024","2,726"
77040,"45,081","3,208","17,649","$121,700 ","15,976","$53,194 ","22,572","22,509","25,627","5,989",433,"3,253",22,"8,213","1,544","7,863","3,293","3,900",920,"6,678","2,636","6,662","1,673","17,762","7,761","9,011"
77060,"40,830","4,965","15,562","$90,400 ","13,035","$27,750 ","21,072","19,758","18,045","8,844",468,258,15,"11,479","1,721","4,877","4,158","3,164",836,"2,123","1,159","9,753","2,527","11,272","10,064","8,204"
77092,"33,745","4,431","14,870","$130,200 ","12,654","$37,314 ","17,174","16,571","19,996","4,562",278,421,8,"7,383","1,097","4,728","3,118","3,809",999,"3,234","2,154","7,266","2,216","11,764","6,061","8,612"
77089,"48,685","3,829","16,805","$121,000 ","15,902","$63,141 ","23,897","24,788","26,312","7,454",234,"6,148",51,"6,979","1,507","8,926","3,402","2,860",714,"8,244","2,955","4,703",903,"20,010","8,801","10,141"
77057,"39,208","9,198","22,694","$224,900 ","19,756","$54,594 ","20,586","18,622","26,906","2,944","1,072","2,452",31,"4,365","1,438","5,636","2,487","9,664","1,969","4,706","2,042","13,008","2,938","17,477","7,765","8,075"
77339,"37,512","2,224","16,137","$150,300 ","15,131","$73,135 ","18,139","19,373","31,989","1,882",179,"1,154",52,"1,361",895,"8,233","2,024","4,072",802,"7,296","2,568","5,267","1,006","14,724","8,082","9,099"
77007,"30,853","3,952","17,708","$308,700 ","16,083","$98,725 ","16,556","14,297","23,426","1,718",151,"1,884",17,"2,735",922,"4,855","1,558","7,182","2,488","6,191","1,550","8,342","1,625","17,972","5,002","4,644"
77074,"37,267","6,852","14,331","$104,800 ","12,396","$36,207 ","18,719","18,548","18,652","5,843",345,"2,254",14,"8,526","1,633","4,977","3,146","3,380",893,"3,016","1,781","7,599","1,935","11,693","7,384","8,665"
77076,"33,803","7,082","10,193","$86,500 ","9,304","$31,212 ","17,246","16,557","19,673","2,446",294,82,19,"10,021","1,268","4,745","2,682","1,380",497,"2,688","2,126","4,490",889,"8,353","6,978","8,703"
77064,"45,847","3,114","16,362","$133,300 ","15,341","$62,610 ","22,813","23,034","24,787","6,161",352,"7,057",17,"5,937","1,536","8,298","2,996","3,268",779,"7,994","2,034","5,313","1,021","18,692","6,737","9,605"
77020,"25,464","3,688","9,384","$70,500 ","7,899","$29,401 ","12,815","12,649","12,121","6,461",261,125,14,"5,763",719,"3,081","2,605","1,792",421,"1,657","2,208","4,034","1,485","6,558","4,455","8,523"
77072,"56,526","7,725","18,964","$94,100 ","17,030","$35,462 ","27,720","28,806","18,418","13,479",473,"11,343",25,"10,411","2,377","7,750","5,413","3,001",866,"5,951","2,464","8,615","1,934","18,045","10,980","13,513"
77075,"37,388","3,397","12,024","$114,600 ","11,190","$45,581 ","18,328","19,060","18,092","7,102",233,"2,511",27,"8,109","1,314","5,770","3,046","1,858",516,"5,067","1,560","4,563",834,"14,097","6,131","7,944"
77087,"36,399","5,462","11,494","$84,800 ","10,455","$38,707 ","18,496","17,903","19,010","5,337",241,263,4,"10,338","1,206","5,237","2,769","1,944",505,"3,370","2,556","4,529","1,039","11,652","5,695","10,215"
77030,"10,258","4,069","5,759","$501,100 ","4,902","$68,980 ","5,178","5,080","6,751",644,16,"2,300",4,235,308,"1,822",336,"2,183",561,"1,422",707,"2,773",857,"4,842","1,921","2,456"
77084,"95,137","3,094","33,731","$124,300 ","31,473","$62,785 ","46,947","48,190","53,996","13,365",667,"8,761",80,"14,633","3,635","17,000","6,502","6,204","1,767","17,188","2,961","11,324","2,258","38,406","14,896","21,247"
77025,"26,137","6,078","13,662","$331,200 ","12,096","$65,828 ","12,534","13,603","16,499","3,123",93,"3,951",21,"1,610",840,"4,727","1,533","4,796","1,040","3,592","1,759","6,745","1,566","10,516","4,586","5,972"
77094,"8,498",754,"3,189","$295,200 ","2,924","$146,518 ","4,218","4,280","6,311",231,15,"1,700",4,104,133,"2,365",206,305,48,"1,993",666,265,265,"3,253","1,349","2,194"
77005,"25,528","6,639","10,299","$754,000 ","9,548","$159,732 ","12,528","13,000","21,154",436,45,"3,033",6,286,568,"5,610",637,"2,827",474,"4,697","2,212","2,639",751,"9,332","5,216","5,861"
77051,"15,085","2,059","6,584","$58,800 ","5,806","$22,920 ","6,647","8,438",549,"13,783",29,42,3,533,146,"1,097","2,623","1,847",239,"1,051","1,429","3,326",778,"3,186","2,001","6,291"
77032,"12,757",577,"4,343","$72,900 ","3,929","$23,389 ","6,150","6,607","4,904","5,304",70,123,11,"2,065",280,"1,271","1,495","1,002",161,785,557,"2,587",414,"2,680","2,272","4,404"
77071,"25,671","5,746","10,423","$117,500 ","9,362","$45,941 ","12,097","13,574","7,121","13,142",133,"1,994",13,"2,666",602,"3,860","2,362","2,696",444,"4,120","1,274","3,968","1,061","9,002","4,916","6,707"
77598,"23,059","1,905","11,956","$117,100 ","10,615","$46,682 ","11,550","11,509","14,465","3,218",124,"1,480",23,"2,796",953,"3,065","2,056","4,463","1,031","1,677",547,"8,391","1,341","9,637","4,584","3,922"
77345,"26,122","3,088","9,822","$243,300 ","9,150","$119,708 ","12,843","13,279","23,492",624,83,926,25,530,442,"6,859",774,"1,305",212,"6,165","1,813","1,172",672,"10,311","4,484","6,871"
77015,"53,621","2,539","18,461","$92,200 ","16,440","$44,167 ","27,088","26,533","29,394","9,339",533,914,17,"11,618","1,806","8,258","4,222","3,190",770,"5,740","3,398","7,302","2,021","17,694","9,297","13,524"
77045,"31,255","2,708","9,730","$85,500 ","9,060","$36,952 ","14,970","16,285","8,623","14,906",243,222,15,"6,313",933,"4,176","3,119","1,484",281,"4,075","2,204","2,781",670,"9,087","4,619","10,126"
77098,"13,076","7,365","9,064","$424,200 ","7,856","$81,907 ","6,643","6,433","10,480",481,51,"1,088",5,666,305,"1,912",571,"4,273","1,100","1,614",710,"5,532","1,208","6,736","3,299","1,630"
77049,"28,521","1,160","9,402","$104,000 ","8,541","$50,348 ","14,056","14,465","13,871","7,285",278,982,5,"5,054","1,046","4,751","2,098","1,350",342,"4,796","1,273","2,472",861,"9,212","5,082","7,131"
77546,"47,636","1,806","17,268","$184,300 ","16,614","$98,442 ","23,177","24,459","39,003","2,475",201,"3,278",28,"1,496","1,155","10,854","2,277","2,953",530,"10,328","3,130","3,156",654,"18,594","8,086","11,114"
77477,"35,897","3,434","13,682","$141,900 ","12,968","$54,917 ","17,369","18,528","13,615","8,776",213,"7,942",27,"4,131","1,193","6,147","2,933","3,203",685,"4,275","1,705","6,988",714,"13,390","6,227","8,198"
77571,"35,666","1,020","13,658","$122,200 ","12,569","$68,102 ","17,729","17,937","28,694","2,163",231,421,37,"3,189",931,"7,032","2,363","2,536",638,"6,911","2,593","3,065","1,089","13,271","6,525","8,019"
77047,"21,077","1,525","8,097","$103,400 ","7,555","$49,246 ","9,792","11,285","4,036","14,046",99,568,7,"1,792",529,"2,906","2,299","1,898",452,"4,226","1,381","1,948",542,"8,086","3,838","5,287"
77070,"46,017","3,537","20,131","$154,500 ","18,305","$69,139 ","22,355","23,662","31,034","5,648",302,"4,154",36,"3,484","1,359","8,821","3,166","5,244","1,074","7,765","2,181","8,359","1,826","19,618","7,787","9,458"
77396,"43,317","1,616","14,394","$109,200 ","13,239","$56,575 ","22,154","21,163","20,779","13,378",366,"1,155",122,"6,254","1,263","6,958","3,207","2,425",649,"7,088","1,608","4,543","1,155","15,854","7,813","9,047"
77037,"19,819","3,179","5,521","$84,200 ","5,122","$35,518 ","10,427","9,392","11,903",347,226,341,2,"6,177",823,"2,968","1,285",641,228,"1,838","1,637","1,647",399,"5,189","3,802","4,863"
77336,"12,471",319,"4,643","$142,000 ","4,239","$62,995 ","6,248","6,223","11,099",333,102,102,5,602,228,"2,696",730,645,168,"2,269","1,131",839,404,"4,216","1,719","3,036"
77014,"28,684","4,008","11,671","$119,300 ","9,596","$40,659 ","13,735","14,949","6,951","13,573",148,"2,879",15,"4,211",907,"4,128","2,762","2,206",500,"4,142",515,"4,939","2,075","10,873","4,336","6,391"
77365,"25,769",726,"9,289","$124,800 ","8,534","$58,109 ","12,944","12,825","20,569",725,225,322,16,"3,322",590,"4,989","1,631","1,511",403,"4,320","2,084","2,130",755,"8,968","5,071","6,097"
77046,"1,196","10,239",964,"$295,000 ",846,"$85,493 ",580,616,981,53,0,113,0,28,21,193,30,543,80,147,136,563,118,603,182,284
77338,"33,971","1,283","13,017","$102,600 ","11,760","$48,046 ","16,417","17,554","15,573","10,930",194,915,239,"4,915","1,205","5,265","3,032","2,804",659,"5,282","1,241","5,237","1,257","11,800","6,682","7,441"
77069,"16,541","3,450","8,643","$206,000 ","7,807","$68,495 ","7,874","8,667","12,310","2,005",79,964,7,803,373,"3,652",987,"2,735",433,"2,979","1,644","3,184",836,"6,479","2,997","4,317"
77050,"4,611",691,"1,451","$73,100 ","1,344","$44,327 ","2,321","2,290","1,369","1,678",19,21,0,"1,339",185,719,373,195,57,457,497,390,107,"1,188",763,"1,309"
77065,"35,326","4,301","14,957","$140,600 ","13,858","$54,091 ","17,009","18,317","20,955","5,792",168,"3,737",31,"3,368","1,275","6,238","2,751","4,032",837,"5,275","1,461","7,122","1,099","14,483","6,263","7,568"
77478,"24,739","2,543","9,371","$247,600 ","9,005","$89,549 ","12,139","12,600","13,260","1,841",55,"8,347",12,554,670,"5,877","1,083","1,738",307,"4,690","2,408","1,907",366,"9,075","3,825","6,685"
77450,"71,889","3,533","25,207","$191,900 ","24,417","$100,957 ","35,350","36,539","53,941","3,828",361,"8,869",39,"2,814","2,037","16,325","3,266","4,047",779,"14,741","3,589","6,087",790,"26,251","11,936","14,187"
77038,"26,713","2,838","7,922","$86,300 ","7,286","$38,160 ","13,473","13,240","11,727","5,163",311,"1,564",28,"6,938",982,"3,832","2,205",952,297,"2,889","1,111","3,286",636,"7,693","4,948","6,722"
77029,"17,814","1,371","6,340","$69,500 ","5,636","$31,715 ","8,819","8,995","8,492","4,610",169,40,1,"3,961",541,"2,509","1,591","1,349",187,"1,546","1,994","2,096",704,"4,489","2,974","6,100"
77573,"71,580","2,373","26,951","$182,300 ","25,444","$92,559 ","35,229","36,351","57,599","4,583",298,"3,727",38,"3,277","2,058","15,718","3,615","4,909","1,202","16,301","3,201","5,942","1,507","29,965","12,132","13,198"
77059,"16,949","1,722","5,724","$243,000 ","5,625","$136,355 ","8,488","8,461","12,731",467,68,"3,057",3,230,393,"4,506",455,558,106,"3,935","1,450",240,99,"6,998","3,361","4,352"
77584,"70,228","2,188","25,184","$189,600 ","23,722","$94,103 ","34,146","36,082","38,345","14,295",298,"11,118",26,"4,020","2,126","15,220","3,449","4,054",999,"15,764","3,186","4,772","1,462","30,294","10,681","12,593"
77083,"70,837","6,868","21,719","$117,900 ","20,313","$53,879 ","34,341","36,496","20,489","21,776",324,"16,317",24,"9,439","2,468","11,697","5,327","2,618",671,"12,420","2,343","5,550","1,406","24,803","11,245","17,603"
